-et,symetrie,nrj
Doublet,Ag,0.0
Doublet,Ag,17.213046000000293
Doublet,Ag,18.657897000000307
Doublet,Ag,19.060605000000145
Quartet,Ag,16.285185000000038
Quartet,Ag,17.490588000000226
Doublet,Au,9.977907000000236
Doublet,Au,10.25544900000017
Doublet,Au,10.89760500000022
Doublet,Au,11.645880000000313
Quartet,Au,7.980693000000058
Quartet,Au,9.21602700000008
Doublet,B1g,18.657897000000307
Doublet,B1g,19.060605000000145
Quartet,B1g,16.285185000000038
Quartet,B1g,18.252468
Doublet,B1u,9.088140000000086
Doublet,B1u,10.25544900000017
Doublet,B1u,10.89760500000022
Doublet,B1u,19.44698700000021
Quartet,B1u,6.696381000000344
Quartet,B1u,7.980693000000058
Doublet,B2g,9.362961000000317
Doublet,B2g,10.42687200000006
Doublet,B2g,11.09351700000015
Doublet,B2g,12.59278800000004
Doublet,B2g,18.34498200000036
Quartet,B2g,8.320818000000136
Doublet,B2u,0.3101940000002438
Doublet,B2u,19.651062000000024
Quartet,B2u,18.717758999999976
Doublet,B3g,9.362961000000317
Doublet,B3g,10.42687200000006
Doublet,B3g,11.09351700000015
Doublet,B3g,12.59278800000004
Doublet,B3g,18.34498200000036
Quartet,B3g,8.320818000000136
Doublet,B3u,0.3101940000002438
Doublet,B3u,19.651062000000024
Quartet,B3u,18.717758999999976
